prerequisite_code,course_code
PHYA11H3,EESD15H3
MATA21H3,EESD21H3
MATA35H3,EESD21H3
MATA36H3,EESD21H3
PHYB57H3,EESD21H3
PSCB57H3,EESD21H3
STAB22H3,EESD21H3
MATA30H3,EESD28H3
STAB22H3,EESD28H3
STAB22H3,EESD31H3
EESB03H3,EESD31H3
EESB02H3,EESD33H3
EESC07H3,EESD33H3
ENGA10H3,ENGB29H3
ENGA11H3,ENGB29H3
ENGB70H3,ENGB29H3
FLMA70H3,ENGB29H3
ENGA03H3,ENGB60H3
ENGA03H3,ENGB61H3
ENGA03H3,ENGB63H3
ENGA02H3,ENGB72H3
ENGB61H3,ENGC04H3
ENGB60H3,ENGC05H3
ENGB61H3,ENGC06H3
THRB20H3,ENGC07H3
VPDB10H3,ENGC07H3
THRB21H3,ENGC07H3
VPDB11H3,ENGC07H3
ENGB60H3,ENGC08H3
ENGB61H3,ENGC08H3
ENGB63H3,ENGC24H3
VPDB10H3,ENGC26H3
VPDB11H3,ENGC26H3
THRB20H3,ENGC27H3
VPDB10H3,ENGC27H3
THRB21H3,ENGC27H3
VPDB11H3,ENGC27H3
SOCB58H3,ENGC59H3
ENGA02H3,ENGC74H3
ENGB60H3,ENGC86H3
ENGB61H3,ENGC87H3
ENGB63H3,ENGC88H3
ENGA01H3,ENGD02Y3
ENGA02H3,ENGD02Y3
AFSA01H3,ENGD08H3
ENGB22H3,ENGD08H3
ENGC72H3,ENGD08H3
ENGB60H3,ENGD26Y3
ENGC86H3,ENGD26Y3
ENGB61H3,ENGD27Y3
ENGB63H3,ENGD27Y3
ENGC87H3,ENGD27Y3
ENGC88H3,ENGD27Y3
ENGB60H3,ENGD28Y3
ENGC86H3,ENGD28Y3
ENGB61H3,ENGD28Y3
ENGC87H3,ENGD28Y3
ESTB01H3,ESTC35H3
ESTB01H3,ESTC36H3
ESTB04H3,ESTC37H3
ESTB01H3,ESTC38H3
EESB03H3,ESTC38H3
EESB04H3,ESTC38H3
EESB05H3,ESTC38H3
ESTB04H3,ESTC40H3
STAB22H3,ESTD19H3
ESTB04H3,ESTD20H3
FLMA70H3,FLMC81H3
ENGB70H3,FLMC81H3
SOCB58H3,FLMC83H3
FLMA70H3,FLMC93H3
ENGB70H3,FLMC93H3
FREA91Y3,FREA01H3
FREA99H3,FREA01H3
FREA01H3,FREA02H3
FREA90Y3,FREA91Y3
FREA97H3,FREA91Y3
FREA96H3,FREA97H3
LGGA21H3,FREA97H3
FREA97H3,FREA98H3
LGGA22H3,FREA98H3
FREA98H3,FREA99H3
LGGB23H3,FREA99H3
FREA01H3,FREB01H3
FREA02H3,FREB01H3
FREB01H3,FREB02H3
FREA01H3,FREB08H3
FREA02H3,FREB08H3
FREA01H3,FREB11H3
FREA02H3,FREB11H3
FREA01H3,FREB17H3
FREA02H3,FREB17H3
FREA01H3,FREB18H3
FREA02H3,FREB18H3
FREA01H3,FREB20H3
FREA02H3,FREB20H3
